17-FEB-2021 18:38:48	22.25	121.36	5.1	16	REGIóN DE TAIWáN
17-FEB-2021 18:35:35	30.85	51.38	5.4	10	NORTE Y CENTRAL IRAN
17-FEB-2021 17:42:04	-8.58	118.29	4.3	134	SUMBAWA REGIÓN, INDONESIA
17-FEB-2021 17:32:34	36.69	70.70	4.1	243	HINDU KUSH, AFGANISTAN
17-FEB-2021 15:27:39	15.01	-92.51	4.5	100	MÉXICO-GUATEMALA FRONTERA REGIÓN
17-FEB-2021 15:25:15	-17.54	167.61	4.7	10	ISLAS VANUATU
17-FEB-2021 14:06:17	37.61	141.71	4.6	47	CERCA LA COSTA E. DE HONSHU, JAPóN
17-FEB-2021 13:03:43	6.67	125.23	4.8	21	MINDANAO, FILIPINAS
17-FEB-2021 12:59:36	-23.01	172.59	5.2	10	AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
17-FEB-2021 12:24:50	26.67	92.54	4.7	53	NORESTE DE LA INDIA
17-FEB-2021 12:21:42	-17.47	167.63	5.5	10	ISLAS VANUATU
17-FEB-2021 12:14:50	-29.29	-69.39	4.8	124	CHILE-ARGENTINA FRONTERA REGIÓN
17-FEB-2021 11:55:52	-7.59	127.68	4.1	172	MAR BANDA
17-FEB-2021 11:45:16	-17.60	167.99	4.9	10	ISLAS VANUATU
17-FEB-2021 11:31:59	-17.58	167.89	5.2	10	ISLAS VANUATU
17-FEB-2021 10:58:55	36.47	69.73	4.1	158	HINDU KUSH, AFGANISTAN
17-FEB-2021 10:51:10	-23.28	171.85	5.0	10	AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
17-FEB-2021 10:37:56	-8.44	27.14	4.7	10	REPÚBLICA DEMOCRÁTICA DEL CONGO
17-FEB-2021 09:48:03	-5.98	101.86	4.5	10	SOUTHWEST OF SUMATRA, INDONESIA
17-FEB-2021 09:36:16	-20.21	168.81	5.2	10	ISLAS DE LA LEALTAD (LOYALTY)
17-FEB-2021 09:30:34	-17.52	167.77	5.3	10	ISLAS VANUATU
17-FEB-2021 05:00:39	-6.17	147.25	5.3	106	ESTE DE NEW GUINEA REG., PNG
17-FEB-2021 04:38:51	38.32	22.02	4.8	10	GRECIA
17-FEB-2021 04:10:26	38.27	22.17	4.3	10	GRECIA
17-FEB-2021 03:58:32	-17.58	167.56	5.0	10	ISLAS VANUATU
17-FEB-2021 03:36:07	38.41	22.02	5.5	5	GRECIA
